PID,Day,Type,Question,ThreatWord,NeutralWord,Probe,ThreatPosition,ProbePosition,ProbeSelected,Response,ResponseTime,created_at
RR38402,0,Q&A,"??????? u know",None,None,None,None,None,None,Wat,None,1602772074406
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.401,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.538,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,2.134,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.278,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,2.313,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,2.662,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.307,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,2.009,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.176,1602772139130
RR38402,1,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,2.07,1602772139130
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.398,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,3.29,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.083,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,2.024,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.487,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.525,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.261,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,2.219,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.725,1602773316111
RR38402,2,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,2.784,1602773316111
RR38402,3,Words,None,VICTIMS,SMELLED,F,,top,F,Success,2.207,1602774137657
RR38402,3,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,1.885,1602774137657
RR38402,3,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.311,1602774137657
RR38402,3,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,1.975,1602774137657
RR38402,3,Words,None,VICTIMS,SMELLED,E,,top,E,Success,2.066,1602774137657
RR38402,3,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,1.881,1602774137657
RR38402,3,Words,None,VICTIMS,SMELLED,E,,top,E,Success,1.995,1602774137657
RR38402,3,Words,None,VICTIMS,SMELLED,E,,bottom,E,Success,2.207,1602774137657
RR38402,3,Words,None,VICTIMS,SMELLED,F,,bottom,F,Success,2.265,1602774137657
RR38402,3,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,1.934,1602774137657
RR38402,4,Words,None,VICTIMS,SMELLED,E,,bottom,E,Success,2.281,1602774207986
RR38402,4,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,1.913,1602774207986
RR38402,4,Words,None,VICTIMS,SMELLED,E,,bottom,E,Success,2.378,1602774207986
RR38402,4,Words,None,VICTIMS,SMELLED,F,,bottom,F,Success,1.99,1602774207986
RR38402,4,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,2.176,1602774207986
RR38402,4,Words,None,TORMENTED,MYTHOLOGY,E,,top,E,Success,2.265,1602774207986
RR38402,4,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,4.431,1602774207986
RR38402,4,Words,None,VICTIMS,SMELLED,E,,bottom,E,Success,2.268,1602774207986
RR38402,4,Words,None,VICTIMS,SMELLED,E,,top,E,Success,2.067,1602774207986
RR38402,4,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.077,1602774207986
RR38402,5,Words,None,TORMENTED,MYTHOLOGY,E,,bottom,E,Success,2.273,1602774274631
RR38402,5,Words,None,VICTIMS,SMELLED,E,,top,E,Success,2.168,1602774274631
RR38402,5,Words,None,VICTIMS,SMELLED,F,,top,F,Success,1.957,1602774274631
RR38402,5,Words,None,TORMENTED,MYTHOLOGY,F,,bottom,F,Success,1.869,1602774274631
RR38402,5,Words,None,VICTIMS,SMELLED,E,,top,E,Success,2.159,1602774274631
RR38402,5,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,1.921,1602774274631
RR38402,5,Words,None,VICTIMS,SMELLED,E,,top,E,Success,2.133,1602774274631
RR38402,5,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,2.132,1602774274631
RR38402,5,Words,None,VICTIMS,SMELLED,E,,bottom,E,Success,2.158,1602774274631
RR38402,5,Words,None,TORMENTED,MYTHOLOGY,F,,top,F,Success,1.979,1602774274631
