PID,Day,Type,Question,ThreatWord,NeutralWord,Probe,ThreatPosition,ProbePosition,ProbeSelected,Response,ResponseTime,created_at
RR10819,0,Q&A,"what is your name?",None,None,None,None,None,None,Rahul,None,"09-10-2020  13:18:53"
RR10819,0,Q&A,"what is your name?",None,None,None,None,None,None,Rahul,None,"09-10-2020  13:18:53"
RR10819,0,Q&A,"what is your name?",None,None,None,None,None,None,Rahul,None,"09-10-2020  13:18:53"
RR10819,0,Q&A,"what is your name?",None,None,None,None,None,None,Rahul,None,"09-10-2020  13:18:53"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"09-10-2020  14:53:21"
RR10819,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"09-10-2020  15:20:02"
RR10819,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"09-10-2020  15:20:02"
RR10819,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"09-10-2020  15:20:02"
RR10819,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"09-10-2020  15:20:02"
